번호,제목,내용
1,65세 이상 코로나 백신 접종 제외; 차라리 잘 되었다,위의 표에서 보듯이 우리나라에서 코로나에 걸린 사람들은 70세 이상에서는 1할 정도밖에 안 된다. 이들은... 드려온 코로나에 감염이 되어서 떼죽음이 되는 경우가 많다. 그리고 가장 감염이 많은 연령은 20대에서...
2,"코로나 백신 접종 거부, 재접종 시기","4% 비율로 코로나 백신 접종 거부를 하고 있습니다. 전체적으로는 94%가량 동의를 한 상태네요. 안정성, 효과성 등에 대한 우려가 있으며, 개인적인 선택의 문제라 이 부분은 존중되어야 하는 상황입니다. <코로나 백신 접종..."
3,코로나 백신 부작용과 주의사항 : 접종 후 이런 증상들이 나타난다고 합니다.,출처 픽사 베이 코로나19 백신은 코로나19의 감염률을 줄여주고 코로나 감염 시 중증 증상을 줄여주는 효과가 있다고 알려져 있습니다. 현재 백신의 이상반응에도 불구하고 백신 접종을 다수에게 하는 것은...
4,코로나 블루 증상 및 해결책 뭐가 있을까?,코로나가 장기화 됨에 따라서 코로나 블루 증상이 대두되고 있는 것이 사실입니다. 그렇다면 어떠한 증상이 나타나며 이를 해결하기 위해서는 무엇을 해야하는 걸까요? 사실 이를 이해하기 위해서는 적응 장애 라는 것을...
5,"식약처 검증자문단, ""얀센 코로나19 백신 예방 효과 인정""","식약처 ‘코로나19 백신 안전성·효과성 검증 자문단'은 한국얀센의 ‘코비드-19백신 얀센주’에 대해... 평가결과, 코로나19로 확진 받은 사람은 백신 투여 14일 이후 백신군 116명, 대조군 348명으로 약 66.9%의..."
6,코로나 백신 접종 시기와 접종 순서까지! 코로나19 백신 접종 총정리,"신종 코로나바이러스 감염증(코로나19) 백신이 국내에 공급되면서 접종에도 착수하기 시작했습니다. 가장 먼저 코로나19 백신을 접종하는 사람은 요양병원이나 요양 시설에 입소한 환자들, 해당 병원 및 시설에서..."
7,코로나 예방 접종 이후 이상반응,이번주에 아스트라제네카에서 나온 코로나 백신을 맞았습니다. 어서 빨리 모두가 마스크를 벗고 일상으로... 코로나 예방 접종 이후 이상반응에 대해 궁금해 하실것 같아 포스팅 합니다. 코로나 예방 접종 이후 이상반응...
8,"새로운 희망으로 가는 첫걸음, 남양주 코로나19 예방접종 센터",남양주 코로나19 예방접종 센터인 남양주체육 문화센터에서 만 75세 이상 어르신을 대상으로 4월 1일부터... 주차 후 바로 맞은편 2층에 남양주 코로나19 예방접종 센터가 보일 겁니다. 대중교통 및 도보 이동 시에는...
9,코로나 19에 의한 뇌손상 기전을 밝히다,"Credit: NIH/NINDS.) 코로나 19는 기본적으로 호흡기 감염 질환이지만, 수많은 전신 합병증이... 중증 코로나 19로 사망한 19명의 환자를 부검해 SARS-CoV-2 바이러스가 어떻게 뇌로 직접 침투하지..."
10,"코로나19 후유증, 완치가 된 이후에도 신체에 남는다?","끝이 없는 코로나19와의 싸움은 사람을 지치게 하고, 또 방심하게 만들고 있습니다. 전 세계적으로 많은 사람들이 발병하고 완치하는 과정을 지켜보며 경각심을 갖게 되면서도 한편으로는 해이해지곤 합니다. 코로나19는..."
11,어르신 코로나19 백신 예방접종 시작! 2분기 코로나19 예방접종 안내,지난달 26일부터 시작된 1분기 코로나19 예방 접종에서 우선 접종 대상자 약 85만명이 1차 접종을 마쳤는데요. 오는 4월부터 2차 예방접종이 시작됩니다. 코로나19 감염 시 중증위험이 높은 65세 이상 어르신과 특수교육과...
12,코로나19 예방접종 명쾌한 Q&A로 알아보세요!,코로나19 예방접종에 대한 여러분의 궁금증을 모아모아- 광주가 분야별 Q&A로 준비했습니다! 궁금한 코로나19 예방접종 명쾌한 Q&A로 만나보세요~ [코로나19 백신 개요] Q. 코로나9 감염 후 생긴 면역이 코로나19 예방접종 후...
13,도라지! 코로나19를 치료할 후보물질로 주목 받다!,"코로나19 치료 후보물질, 도라지 안녕하세요! 의료중재원, 메디입니다! 코로나19가 전 세계를 강타한지 어느새 1년이 훌쩍 넘었습니다. 우리나라를 비롯해 세계 각국에서 백신 접종을 진행하고 있는데요, 백신 개발과..."
14,코로나19 예방접종 현황 및 예방접종 시 주의사항,코로나19 바이러스가 첫 발생한지 어느새 1년이 지났습니다. 확산세는 조금씩 감소하고 있지만 여전히 안심할 수 없는 상태입니다. 지난 2021년 2월부터는 국내에서도 코로나19 바이러스 백신 예방접종을...
15,"코로나 백신, 아스트라제네카(az) 예방 접종 후기 with 삼겹살",코로나로 인한 마스크 생활이 벌써 1년이 넘었습니다. 이렇게 오래 갈지는 몰랐는데 아직도 1년은 남은 것 같습니다. 그래도 다행인 것은 백신 접종이 시작됐다는 희망입니다. 끝을 위한 시작 일상 회복을 위한 코로나 19...
16,코로나 백신과 대정의 면역강화 식단,"우리나라도 지난달 말부터 드디어 코로나 백신 접종이 시작되었습니다. 대정도 삼엄한(?) 호위 속에 코로나-19 백신을 수령하고, 지난주 무사히 1차 예방접종을 마쳤는데요, 요즘 하도 각종 언론이며 인터넷..."
17,코로나19 백신을 언제 접종할 거냐는 질문을 받았다... 대답은 그 때 가봐야 알지!,"코로나19 팬더믹 이후, 어느 정도 시간의 흐름에 맡겨두고 손을 놓고 보기만 하는 것들이 많이 늘었다.... 코로나19 백신을 접종하고 별다른 느낌이 없었다는 사람들부터, 독감 예방접종 하는 것과 차이가 없었다는 지인..."
18,"오한부터 마비까지, 코로나19 백신의 부작용은?",임상시험 참가자들의 후기로 보는 코로나19 백신 코로나바이러스감염증-19(이하 코로나19)의 종식의 때가 실제로 다가오는 것처럼 여겨지고 있다. 코로나19 백신의 접종이 각지에서 시도되고 있기 때문이다. 실제...
19,[랜선 건강교실] 코로나19 백신에 대한 모든 것! / 삼성서울병원 감염내과 정두련 교수,"랜선 건강교실 5번째 주제는 바로, '코로나19 백신'입니다. 코로나19 백신에 대한 모든 것! [삼성서울병원] 감염내과 정두련 교수가 그 자세한 내용을 알려드립니다. 00:46 백신 접종 이후 전망 01:18 백신 접종 제외..."
20,코로나19백신은 왜 근육에? 접종 전후 주의할 것은?,"코로나19백신은 왜 근육에? 접종 전후 주의할 것은? 코로나19와 （3）RNA백신이 유전자를 변화시킬 우려는 없나？ 2021.03.26 아사히신문 코로나19의 백신은, 독감백신 등과 달리, 근육주사로 접종합니다。왜 그럴까요? 접종..."
21,코로나검사 아산병원,서울에서 코로나 검사하신분들 저렴히 하신분들 있나요? 최근에 선별진료소에서 검사해도 이름 검사날짜 검사기관 나온분 계실까요? 병원에서 검사했을때 너무 아팠거든요 또 입원하시는데 코로나검사 비용까지 너무...
22,"AZ 코로나 백신, 유럽 공식 EMA 최신 업데이트","AZ 코로나 백신, 유럽 공식 EMA 최신 업데이트 곧 발표될 듯 합니다. (18일 발표 예정) 이 발표를 하는 곳이... 제가 여기서 전세계 코로나 백신 맞고 나서 사망율, 사망자수 (치사율) 등등 올려드렸으므로 가짜뉴스 같은 것에..."
23,코로나 백신?????,이식 2년 4개월 됩니다 어제 외래 정기 진료가 있어 코로나 뱍신 접종에 관해 담당의에게 물어보았습니다 코로나 백신 맞아도 되냐고.... 담당의 왈 '아제는 검증이 안됐으니 안맞는게 좋다 화이자는 괜찮은데 대상이...
24,"코로나 19 예방 접종의 시작, 백신에 대한 국민의 관심","코로나19 백신에 대한 학생들의 관심은?! 코로나19 예방 접종의 시작, 백신에 대한 국민의 관심 코로나 19 예방 접종의 시작 2021년 2월 26일, 우리나라에서 코로나19의 백신 접종을 시작하였습니다. 요양병원, 요양 시설..."
25,"헬스장, 코로나19 방역지침 이렇게 지키고 있어요!","오늘은 많은 사람들이 찾을 법한 체육시설인 헬스장에 직접 방문하여 코로나19 방역지침을 어떻게 지키고... 모두의 안전한 운동을 위해 “어반필드에서 코로나19관련 안내말씀 전해드립니다. 첫째, 회원님과 직원의..."
26,코로나 문진표 하시나요?,진료전 문진표외에 코로나 문진표하시나요? 저희 병원은 진료전 문진표 & 방문자 명단+체온 측정(보호자 같이)하고 있어요. 다른 쌤은 코로나 문진표도 같이 하시나요?
27,코로나검사했어요,병원가려구 코로나검사했어요 검사하는거 무서웠는데 와~하나도 안아프더라구요 독감검사보다 안아팠어요... 무조건 코로나음성결과 받아가지고 오라더라구요 양성아니길 비네요 워낙집순이라 사람도 수퍼에서나...
28,"코로나19, 우리 아이의 정신건강을 위한 7가지 수칙","끝날 줄 모르는 코로나19 감염병 확산으로 소아와 청소년들의 정신건강이 위협받고 있습니다. 부모님들의... 코로나19 는 언제 끝날지 알 수 없으며, 끝난다 해도 전과 같지는 않을 겁니다. 그러니 변화에 적응할 수 있도록..."
29,코로나검사,목요일 냉동 이식날인데...이식후 1시간 분만실에 누워있게되는데...그때 코로나음성확인이 필요하다고 내일 코로나검사를 하게됬네요;;; 코로나이후 코로나검사만 이미 3번했는데;;(입원시 무조건 코로나검사필수)...
30,코로나검사결과,있는데 코로나 검사하고 오라해서요 올림픽공원 선별진료소에서 검사하신 분들 혹시 오전10시쯤에 하면 당일 결과 나올까요? 아님 결과가 좀 빨리 나오는데 있을까요? 결과 나올때까지 출근을 못해서요 오늘도 코로나...
